GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ModelProject,pl.comp.model.exceptions,ModelRuntimeException,12,0,0,0,6,0,3,0,3,0
ModelProject,pl.comp.model.exceptions,NoSuchFileException,7,4,0,0,4,2,2,1,2,1
ModelProject,pl.comp.model.exceptions,WrongFieldValueException,8,4,0,0,4,2,2,1,2,1
ModelProject,pl.comp.model.exceptions,WriteToDatabaseException,12,0,0,0,6,0,3,0,3,0
ModelProject,pl.comp.model.exceptions,ModelException,8,4,0,0,4,2,2,1,2,1
ModelProject,pl.comp.model.exceptions,ReadFromFileException,12,0,0,0,6,0,3,0,3,0
ModelProject,pl.comp.model.exceptions,WriteToFileException,12,0,0,0,6,0,3,0,3,0
ModelProject,pl.comp.model.exceptions,WrongElementSizeException,8,4,0,0,4,2,2,1,2,1
ModelProject,pl.comp.model,SudokuColumn,0,15,0,0,0,4,0,2,0,2
ModelProject,pl.comp.model,BacktrackingSudokuSolver,0,234,0,34,0,46,0,21,0,4
ModelProject,pl.comp.model,SudokuField,10,165,4,14,4,42,6,17,2,12
ModelProject,pl.comp.model,SudokuRow,0,15,0,0,0,4,0,2,0,2
ModelProject,pl.comp.model,JpaSudokuBoardDao,18,55,0,0,4,17,0,6,0,6
ModelProject,pl.comp.model,SudokuBoardDaoFactory,0,21,0,0,0,8,0,3,0,3
ModelProject,pl.comp.model,SudokuElement,20,105,3,11,5,25,4,10,1,6
ModelProject,pl.comp.model,FileSudokuBoardDao,36,123,1,9,7,27,1,8,0,4
ModelProject,pl.comp.model,SudokuBoard,16,367,4,36,4,62,5,30,1,14
ModelProject,pl.comp.model,SudokuBox,0,15,0,0,0,4,0,2,0,2
